"Scenario","True_MTD","Model","Method","Nmax_eff","Cycle_Max","Alpha_low","Alpha_high","MTD_sel_low","MTD_sel_high","Drop_pp"
5,2,"CRM","crm_alpha_crm",45,3,1.2,1.5,27.3285,21.7513,5.5772
6,2,"CRM","crm_fixed",45,2,0,0.3,50.4741,45.0641,5.41
6,2,"CRM","crm_fixed",45,2,0.3,0.6,45.0641,36.1963,8.8678
6,2,"CRM","crm_fixed",45,2,0.6,0.9,36.1963,26.8265,9.3698
6,2,"CRM","crm_fixed",45,2,0.9,1.2,26.8265,19.4646,7.3619
6,2,"CRM","crm_fixed",45,2,1.2,1.5,19.4646,11.4891,7.9755
6,2,"CRM","crm_random",45,2,0,0.3,51.5895,45.343,6.2465
6,2,"CRM","crm_random",45,2,0.3,0.6,45.343,38.0368,7.3062
6,2,"CRM","crm_random",45,2,0.6,0.9,38.0368,29.894,8.1428
6,2,"CRM","crm_random",45,2,0.9,1.2,29.894,24.5399,5.3541
6,2,"CRM","crm_random",45,2,1.2,1.5,24.5399,15.9509,8.589
6,2,"CRM","crm_level",45,2,0,0.3,51.0318,44.7295,6.3023
6,2,"CRM","crm_level",45,2,0.3,0.6,44.7295,38.5388,6.1907
6,2,"CRM","crm_level",45,2,0.6,0.9,38.5388,30.4518,8.087
6,2,"CRM","crm_level",45,2,0.9,1.2,30.4518,22.6436,7.8082
6,2,"CRM","crm_level",45,2,1.2,1.5,22.6436,16.5086,6.135
6,2,"CRM","crm_alpha_crm",45,2,0.3,0.6,47.9085,40.435,7.47349999999999
6,2,"CRM","crm_alpha_crm",45,2,0.6,0.9,40.435,32.348,8.087
6,2,"CRM","crm_alpha_crm",45,2,0.9,1.2,32.348,24.763,7.585
6,2,"CRM","crm_alpha_crm",45,2,1.2,1.5,24.763,17.0106,7.7524
6,2,"CRM","crm_cumu_crm",45,2,0.6,0.9,54.3781,48.9682,5.4099
6,2,"CRM","crm_cumu_crm",45,2,1.2,1.5,44.0045,38.7061,5.2984
6,2,"CRM","crm_fixed",45,3,0,0.3,50.976,43.2794,7.6966
6,2,"CRM","crm_fixed",45,3,0.3,0.6,43.2794,34.077,9.2024
6,2,"CRM","crm_fixed",45,3,0.6,0.9,34.077,26.3246,7.7524
6,2,"CRM","crm_fixed",45,3,0.9,1.2,26.3246,18.126,8.1986
6,2,"CRM","crm_fixed",45,3,1.2,1.5,18.126,9.5371,8.5889
6,2,"CRM","crm_random",45,3,0,0.3,51.1991,44.7853,6.4138
6,2,"CRM","crm_random",45,3,0.3,0.6,44.7853,37.1445,7.6408
6,2,"CRM","crm_random",45,3,0.6,0.9,37.1445,29.8383,7.3062
6,2,"CRM","crm_random",45,3,0.9,1.2,29.8383,21.9186,7.9197
6,2,"CRM","crm_random",45,3,1.2,1.5,21.9186,14.7239,7.1947
6,2,"CRM","crm_level",45,3,0,0.3,50.8087,44.3949,6.4138
6,2,"CRM","crm_level",45,3,0.3,0.6,44.3949,36.6983,7.6966
6,2,"CRM","crm_level",45,3,0.6,0.9,36.6983,29.9498,6.7485
