"Figure","Alpha","Gap","Method","Metric","Value","Scenarios found","Derived oracle quantity"
"Random prior sensitivity","0.3","0.15","Discount CRM (0.5, 0.5)","Overdose selection","24.8271","9935","false"
"Random prior sensitivity","0.3","0.15","Discount CRM (0.5, 0.5)","Overdose allocation","27.237333333333336","9935","false"
"Random prior sensitivity","0.3","0.15","Discount CRM (0.5, 0.5)","Average sample size","22.2567","9935","false"
"Random prior sensitivity","0.3","0.15","Discount CRM (0.5, 0.5)","Average trial duration","174.4602285714286","9935","false"
"Random prior sensitivity","0.3","0.15","Discount CRM (0.5, 0.5)","Absolute MTD-selection change vs oracle","4.5358","9935","false"
"Random prior sensitivity","0.3","0.05","Discount CRM (1, 1)","MTD selection","34.5122","9889","false"
"Random prior sensitivity","0.3","0.05","Discount CRM (1, 1)","MTD allocation","27.827","9889","false"
"Random prior sensitivity","0.3","0.05","Discount CRM (1, 1)","Overdose selection","33.7241","9889","false"
"Random prior sensitivity","0.3","0.05","Discount CRM (1, 1)","Overdose allocation","26.92","9889","false"
"Random prior sensitivity","0.3","0.05","Discount CRM (1, 1)","Average sample size","21.8604","9889","false"
"Random prior sensitivity","0.3","0.05","Discount CRM (1, 1)","Average trial duration","171.25008571428572","9889","false"
"Random prior sensitivity","0.3","0.05","Discount CRM (1, 1)","Absolute MTD-selection change vs oracle","6.5984","9889","false"
"Random prior sensitivity","0.3","0.10","Discount CRM (1, 1)","MTD selection","48.5864","9777","false"
"Random prior sensitivity","0.3","0.10","Discount CRM (1, 1)","MTD allocation","35.477666666666664","9777","false"
"Random prior sensitivity","0.3","0.10","Discount CRM (1, 1)","Overdose selection","31.1292","9777","false"
"Random prior sensitivity","0.3","0.10","Discount CRM (1, 1)","Overdose allocation","28.68933333333333","9777","false"
"Random prior sensitivity","0.3","0.10","Discount CRM (1, 1)","Average sample size","22.1174","9777","false"
"Random prior sensitivity","0.3","0.10","Discount CRM (1, 1)","Average trial duration","173.3223","9777","false"
"Random prior sensitivity","0.3","0.10","Discount CRM (1, 1)","Absolute MTD-selection change vs oracle","1.6947","9777","false"
"Random prior sensitivity","0.3","0.15","Discount CRM (1, 1)","MTD selection","56.5897","9934","false"
"Random prior sensitivity","0.3","0.15","Discount CRM (1, 1)","MTD allocation","40.05733333333333","9934","false"
"Random prior sensitivity","0.3","0.15","Discount CRM (1, 1)","Overdose selection","26.5159","9934","false"
"Random prior sensitivity","0.3","0.15","Discount CRM (1, 1)","Overdose allocation","28.396666666666665","9934","false"
"Random prior sensitivity","0.3","0.15","Discount CRM (1, 1)","Average sample size","22.3072","9934","false"
"Random prior sensitivity","0.3","0.15","Discount CRM (1, 1)","Average trial duration","174.85512857142857","9934","false"
"Random prior sensitivity","0.3","0.15","Discount CRM (1, 1)","Absolute MTD-selection change vs oracle","5.3961","9934","false"
"Random prior sensitivity","0.3","0.05","Oracle: r-fixed, alpha = 0","MTD selection","34.5165","10000","false"
"Random prior sensitivity","0.3","0.05","Oracle: r-fixed, alpha = 0","MTD allocation","28.066","10000","false"
"Random prior sensitivity","0.3","0.05","Oracle: r-fixed, alpha = 0","Overdose selection","25.2711","10000","false"
"Random prior sensitivity","0.3","0.05","Oracle: r-fixed, alpha = 0","Overdose allocation","20.298000000000002","10000","false"
"Random prior sensitivity","0.3","0.05","Oracle: r-fixed, alpha = 0","Average sample size","28.8972","10000","true"
"Random prior sensitivity","0.3","0.05","Oracle: r-fixed, alpha = 0","Average trial duration","231.1776","10000","true"
"Random prior sensitivity","0.3","0.05","Oracle: r-fixed, alpha = 0","Absolute MTD-selection change vs oracle","0","10000","false"
"Random prior sensitivity","0.3","0.10","Oracle: r-fixed, alpha = 0","MTD selection","50.3186","10000","false"
"Random prior sensitivity","0.3","0.10","Oracle: r-fixed, alpha = 0","MTD allocation","37.193333333333335","10000","false"
"Random prior sensitivity","0.3","0.10","Oracle: r-fixed, alpha = 0","Overdose selection","23.8285","10000","false"
"Random prior sensitivity","0.3","0.10","Oracle: r-fixed, alpha = 0","Overdose allocation","21.752666666666666","10000","false"
"Random prior sensitivity","0.3","0.10","Oracle: r-fixed, alpha = 0","Average sample size","29.178099999999997","10000","true"
"Random prior sensitivity","0.3","0.10","Oracle: r-fixed, alpha = 0","Average trial duration","233.42479999999998","10000","true"
"Random prior sensitivity","0.3","0.10","Oracle: r-fixed, alpha = 0","Absolute MTD-selection change vs oracle","0","10000","false"
"Random prior sensitivity","0.3","0.15","Oracle: r-fixed, alpha = 0","MTD selection","59.4115","10000","false"
"Random prior sensitivity","0.3","0.15","Oracle: r-fixed, alpha = 0","MTD allocation","42.927","10000","false"
"Random prior sensitivity","0.3","0.15","Oracle: r-fixed, alpha = 0","Overdose selection","20.7302","10000","false"
"Random prior sensitivity","0.3","0.15","Oracle: r-fixed, alpha = 0","Overdose allocation","21.921666666666667","10000","false"
"Random prior sensitivity","0.3","0.15","Oracle: r-fixed, alpha = 0","Average sample size","29.2446","10000","true"
"Random prior sensitivity","0.3","0.15","Oracle: r-fixed, alpha = 0","Average trial duration","233.9568","10000","true"
"Random prior sensitivity","0.3","0.15","Oracle: r-fixed, alpha = 0","Absolute MTD-selection change vs oracle","0","10000","false"
"Random prior sensitivity","0.6","0.05","Discount CRM (0.15, 0.85)","MTD selection","33.9373","9895","false"
"Random prior sensitivity","0.6","0.05","Discount CRM (0.15, 0.85)","MTD allocation","28.027333333333335","9895","false"
"Random prior sensitivity","0.6","0.05","Discount CRM (0.15, 0.85)","Overdose selection","18.2151","9895","false"
"Random prior sensitivity","0.6","0.05","Discount CRM (0.15, 0.85)","Overdose allocation","16.937666666666665","9895","false"
"Random prior sensitivity","0.6","0.05","Discount CRM (0.15, 0.85)","Average sample size","21.7927","9895","false"
"Random prior sensitivity","0.6","0.05","Discount CRM (0.15, 0.85)","Average trial duration","170.68955714285715","9895","false"
"Random prior sensitivity","0.6","0.05","Discount CRM (0.15, 0.85)","Absolute MTD-selection change vs oracle","6.2227","9895","false"
"Random prior sensitivity","0.6","0.10","Discount CRM (0.15, 0.85)","MTD selection","50.2439","5038","false"
"Random prior sensitivity","0.6","0.10","Discount CRM (0.15, 0.85)","MTD allocation","37.72533333333333","5038","false"
"Random prior sensitivity","0.6","0.10","Discount CRM (0.15, 0.85)","Overdose selection","18.0907","5038","false"
"Random prior sensitivity","0.6","0.10","Discount CRM (0.15, 0.85)","Overdose allocation","19.216","5038","false"
"Random prior sensitivity","0.6","0.10","Discount CRM (0.15, 0.85)","Average sample size","21.8745","5038","false"
"Random prior sensitivity","0.6","0.10","Discount CRM (0.15, 0.85)","Average trial duration","171.36402857142858","5038","false"
"Random prior sensitivity","0.6","0.10","Discount CRM (0.15, 0.85)","Absolute MTD-selection change vs oracle","0.1719","5038","false"
"Random prior sensitivity","0.6","0.15","Discount CRM (0.15, 0.85)","MTD selection","59.497","9902","false"
"Random prior sensitivity","0.6","0.15","Discount CRM (0.15, 0.85)","MTD allocation","43.44433333333334","9902","false"
"Random prior sensitivity","0.6","0.15","Discount CRM (0.15, 0.85)","Overdose selection","16.7896","9902","false"
"Random prior sensitivity","0.6","0.15","Discount CRM (0.15, 0.85)","Overdose allocation","20.196666666666665","9902","false"
"Random prior sensitivity","0.6","0.15","Discount CRM (0.15, 0.85)","Average sample size","22.084","9902","false"
"Random prior sensitivity","0.6","0.15","Discount CRM (0.15, 0.85)","Average trial duration","173.06405714285714","9902","false"
"Random prior sensitivity","0.6","0.15","Discount CRM (0.15, 0.85)","Absolute MTD-selection change vs oracle","4.5137","9902","false"
"Random prior sensitivity","0.6","0.05","Discount CRM (0.3, 0.7)","MTD selection","34.5252","9871","false"
"Random prior sensitivity","0.6","0.05","Discount CRM (0.3, 0.7)","MTD allocation","28.058666666666667","9871","false"
"Random prior sensitivity","0.6","0.05","Discount CRM (0.3, 0.7)","Overdose selection","25.9321","9871","false"
"Random prior sensitivity","0.6","0.05","Discount CRM (0.3, 0.7)","Overdose allocation","22.462","9871","false"
"Random prior sensitivity","0.6","0.05","Discount CRM (0.3, 0.7)","Average sample size","21.8218","9871","false"
"Random prior sensitivity","0.6","0.05","Discount CRM (0.3, 0.7)","Average trial duration","170.94807142857144","9871","false"
"Random prior sensitivity","0.6","0.05","Discount CRM (0.3, 0.7)","Absolute MTD-selection change vs oracle","3.881","9871","false"
"Random prior sensitivity","0.6","0.10","Discount CRM (0.3, 0.7)","MTD selection","49.5645","5026","false"
"Random prior sensitivity","0.6","0.10","Discount CRM (0.3, 0.7)","MTD allocation","36.650666666666666","5026","false"
"Random prior sensitivity","0.6","0.10","Discount CRM (0.3, 0.7)","Overdose selection","24.2907","5026","false"
"Random prior sensitivity","0.6","0.10","Discount CRM (0.3, 0.7)","Overdose allocation","24.419333333333334","5026","false"
"Random prior sensitivity","0.6","0.10","Discount CRM (0.3, 0.7)","Average sample size","22.0008","5026","false"
"Random prior sensitivity","0.6","0.10","Discount CRM (0.3, 0.7)","Average trial duration","172.3989","5026","false"
"Random prior sensitivity","0.6","0.10","Discount CRM (0.3, 0.7)","Absolute MTD-selection change vs oracle","0.4805","5026","false"
"Random prior sensitivity","0.6","0.15","Discount CRM (0.3, 0.7)","MTD selection","58.1849","9880","false"
"Random prior sensitivity","0.6","0.15","Discount CRM (0.3, 0.7)","MTD allocation","41.74066666666667","9880","false"
"Random prior sensitivity","0.6","0.15","Discount CRM (0.3, 0.7)","Overdose selection","21.2714","9880","false"
"Random prior sensitivity","0.6","0.15","Discount CRM (0.3, 0.7)","Overdose allocation","24.503666666666668","9880","false"
"Random prior sensitivity","0.6","0.15","Discount CRM (0.3, 0.7)","Average sample size","22.1957","9880","false"
"Random prior sensitivity","0.6","0.15","Discount CRM (0.3, 0.7)","Average trial duration","173.96705714285713","9880","false"
