"Scenario","Model","Method","BOIN_Method","BOIN_r_estimator","CRM_r_model","Alpha_true","r_carry","Accrual","Dose","True_DLT_rate","True_IPDE_DLT_rate","Estimated_pj","r_hat_raw","r_cap","r_use","MTD_Selection_pct","Pts_Treated","Unique_Pts_by_Dose","IPDE_Doses","Total_Administrations","Total_Unique_Patients","Early_Stopping_pct","Duration","n_valid","ntrial_from_files"
1,"BOIN","approx1-r_fixed","approx1","r_fixed",NA,0.6,0.2,0.5,1,0.07,0.07,0.0087,NA,NA,0.2,0.9689,4.3095,4.3095,0,30,22.0699,0,71.8722,1961,1961
1,"BOIN","approx1-r_fixed","approx1","r_fixed",NA,0.6,0.2,0.5,2,0.12,0.162,0.0308,NA,NA,0.2,3.3146,4.2774,4.2774,3.2983,30,22.0699,0,71.8722,1961,1961
1,"BOIN","approx1-r_fixed","approx1","r_fixed",NA,0.6,0.2,0.5,3,0.17,0.242,0.0815,NA,NA,0.2,18.358,7.4962,7.4962,0.5064,30,22.0699,0,71.8722,1961,1961
1,"BOIN","approx1-r_fixed","approx1","r_fixed",NA,0.6,0.2,0.5,4,0.22,0.322,0.1405,NA,NA,0.2,24.0694,5.3559,5.3559,3.5722,30,22.0699,0,71.8722,1961,1961
1,"BOIN","approx1-r_fixed","approx1","r_fixed",NA,0.6,0.2,0.5,5,0.3,0.432,0.298,NA,NA,0.2,53.2891,8.5609,8.5609,0.5533,30,22.0699,0,71.8722,1961,1961
1,"BOIN","approx2-r_mle","approx2","r_mle",NA,0.6,0.1,0.5,1,0.07,0.07,0.0112,0.0924,0.0662,0.0288,1.05,4.431,4.431,0,30,20.807,0,69.2588,2000,2000
1,"BOIN","approx2-r_mle","approx2","r_mle",NA,0.6,0.1,0.5,2,0.12,0.162,0.0416,0.0908,0.0747,0.0278,5.65,5.862,5.862,3.4025,30,20.807,0,69.2588,2000,2000
1,"BOIN","approx2-r_mle","approx2","r_mle",NA,0.6,0.1,0.5,3,0.17,0.242,0.0945,0.0786,0.1166,0.0302,19.95,7.3665,7.3665,1.4615,30,20.807,0,69.2588,2000,2000
1,"BOIN","approx2-r_mle","approx2","r_mle",NA,0.6,0.1,0.5,4,0.22,0.322,0.1741,0.1386,0.1481,0.0568,32.1,6.4455,6.4455,2.9275,30,20.807,0,69.2588,2000,2000
1,"BOIN","approx2-r_mle","approx2","r_mle",NA,0.6,0.1,0.5,5,0.3,0.432,0.3044,0.1214,0.2374,0.0505,41.25,5.895,5.895,1.4015,30,20.807,0,69.2588,2000,2000
1,"BOIN","approx2-r_fixed","approx2","r_fixed",NA,0.6,0,0.5,1,0.07,0.07,0.0127,NA,NA,0,1.2,4.4685,4.4685,0,30,20.484,0,68.6971,2000,2000
1,"BOIN","approx2-r_fixed","approx2","r_fixed",NA,0.6,0,0.5,2,0.12,0.162,0.0479,NA,NA,0,7.6,6.3945,6.3945,3.5855,30,20.484,0,68.6971,2000,2000
1,"BOIN","approx2-r_fixed","approx2","r_fixed",NA,0.6,0,0.5,3,0.17,0.242,0.1028,NA,NA,0,24.5,7.572,7.572,1.6135,30,20.484,0,68.6971,2000,2000
1,"BOIN","approx2-r_fixed","approx2","r_fixed",NA,0.6,0,0.5,4,0.22,0.322,0.1936,NA,NA,0,33.25,6.6435,6.6435,3.018,30,20.484,0,68.6971,2000,2000
1,"BOIN","approx2-r_fixed","approx2","r_fixed",NA,0.6,0,0.5,5,0.3,0.432,0.317,NA,NA,0,33.45,4.9215,4.9215,1.299,30,20.484,0,68.6971,2000,2000
1,"BOIN","approx2-r_fixed","approx2","r_fixed",NA,0.6,0.1,0.5,1,0.07,0.07,0.011,NA,NA,0.1,1.1219,4.4579,4.4579,0,30,20.2086,0,68.1186,1961,1961
1,"BOIN","approx2-r_fixed","approx2","r_fixed",NA,0.6,0.1,0.5,2,0.12,0.162,0.0375,NA,NA,0.1,5.9663,6.1775,6.1775,3.5798,30,20.2086,0,68.1186,1961,1961
1,"BOIN","approx2-r_fixed","approx2","r_fixed",NA,0.6,0.1,0.5,3,0.17,0.242,0.093,NA,NA,0.1,22.5905,7.565,7.565,1.6706,30,20.2086,0,68.1186,1961,1961
1,"BOIN","approx2-r_fixed","approx2","r_fixed",NA,0.6,0.1,0.5,4,0.22,0.322,0.1688,NA,NA,0.1,32.0755,6.6639,6.6639,3.102,30,20.2086,0,68.1186,1961,1961
1,"BOIN","approx2-r_fixed","approx2","r_fixed",NA,0.6,0.1,0.5,5,0.3,0.432,0.2966,NA,NA,0.1,38.2458,5.1356,5.1356,1.4391,30,20.2086,0,68.1186,1961,1961
