"scenario","alpha_true","replicate","r_hat_used","r_hat_mean","r_hat_map","r_hat_sd","dose","nR","yR","nI","yI","p_true","q_true","obs_pooled","p_pool_plugin","p_mle_plugin"
"sce2",1.2,3,0.986811107509484,0.986811107509484,0,0.00316628111034755,2,100,29,100,100,0.3,1,0.645,0.645,0.292756473502458
"sce2",1.2,3,0.986811107509484,0.986811107509484,0,0.00316628111034755,3,100,50,100,100,0.38,1,0.75,0.75,0.50331881835228
"sce2",1.2,3,0.986811107509484,0.986811107509484,0,0.00316628111034755,4,100,48,100,100,0.45,1,0.74,0.74,0.48331614984562
"sce2",1.2,3,0.986811107509484,0.986811107509484,0,0.00316628111034755,5,100,57,100,100,0.55,1,0.785,0.785,0.573244730212274
"sce2",1.2,4,0.987049682348102,0.987049682348102,0,0.00318480228329557,1,100,16,100,100,0.15,1,0.58,0.58,0.161775388661105
"sce2",1.2,4,0.987049682348102,0.987049682348102,0,0.00318480228329557,2,100,29,100,100,0.3,1,0.645,0.645,0.292705878205845
"sce2",1.2,4,0.987049682348102,0.987049682348102,0,0.00318480228329557,3,100,36,100,100,0.38,1,0.68,0.68,0.363019492154226
"sce2",1.2,4,0.987049682348102,0.987049682348102,0,0.00318480228329557,4,100,43,100,100,0.45,1,0.715,0.715,0.433203310647102
"sce2",1.2,4,0.987049682348102,0.987049682348102,0,0.00318480228329557,5,100,49,100,100,0.55,1,0.745,0.745,0.493258373791253
"sce2",1.2,5,0.986995921293206,0.986995921293206,0,0.00318437122464393,1,100,16,100,100,0.15,1,0.58,0.58,0.161782906796255
"sce2",1.2,5,0.986995921293206,0.986995921293206,0,0.00318437122464393,2,100,27,100,100,0.3,1,0.635,0.635,0.27260321198786
"sce2",1.2,5,0.986995921293206,0.986995921293206,0,0.00318437122464393,3,100,36,100,100,0.38,1,0.68,0.68,0.363032176825344
"sce2",1.2,5,0.986995921293206,0.986995921293206,0,0.00318437122464393,4,100,50,100,100,0.45,1,0.75,0.75,0.503272016007904
"sce2",1.2,5,0.986995921293206,0.986995921293206,0,0.00318437122464393,5,100,50,100,100,0.55,1,0.75,0.75,0.503272016007904
"sce2",1.2,6,0.986842279915603,0.986842279915603,0,0.00317102317655638,1,100,14,100,100,0.15,1,0.57,0.57,0.141617752401991
"sce2",1.2,6,0.986842279915603,0.986842279915603,0,0.00317102317655638,2,100,39,100,100,0.3,1,0.695,0.695,0.393164517484025
