"scenario","alpha_true","dose","n_reps","p_true","q_true","mean_yR","mean_yI","mean_obs_pooled","sd_obs_pooled","mean_p_pool_plugin","sd_p_pool_plugin","bias_p_pool_plugin","mean_p_mle_plugin","sd_p_mle_plugin","bias_p_mle_plugin","mean_r_hat","sd_r_hat","mean_r_hat_posterior_mean","mean_r_hat_map"
"sce1",0.6,1,1000,0.3,0.72,29.803,72.166,0.509845,0.0319706599571873,0.301322554542762,0.058614618113408,0.00132255454276172,0.299095716503528,0.0422933679267121,-0.000904283496472019,0.599179721566805,0.0341620102242214,0.599179721566805,0
"sce1",0.6,2,1000,0.35,0.74,34.998,74.12,0.54559,0.0326644894169321,0.351889268230168,0.0572955567785768,0.00188926823016761,0.350521606153983,0.0452816662457083,0.000521606153983497,0.599179721566805,0.0341620102242214,0.599179721566805,0
"sce1",0.6,3,1000,0.4,0.76,39.943,75.968,0.579555,0.0318125606327754,0.399602998291775,0.0563285986496168,-0.000397001708224817,0.399438885434229,0.044659410517468,-0.000561114565770693,0.599179721566805,0.0341620102242214,0.599179721566805,0
"sce1",0.6,4,1000,0.45,0.78,45.019,77.969,0.61494,0.0322395065996021,0.449842258399889,0.0556365454603992,-0.000157741600110799,0.450130190316505,0.045045564919792,0.000130190316504636,0.599179721566805,0.0341620102242214,0.599179721566805,0
"sce1",0.6,5,1000,0.5,0.8,50.166,80.023,0.650945,0.0325113666886516,0.501282591630772,0.0561379817301185,0.00128259163077162,0.501488192263509,0.0463916803763878,0.00148819226350886,0.599179721566805,0.0341620102242214,0.599179721566805,0
"sce1",0.9,1,1000,0.3,0.93,29.993,93.176,0.615845,0.0271863950363978,0.320408992344317,0.112474455255317,0.0204089923443167,0.301131060491938,0.047171269937647,0.00113106049193782,0.896821476499394,0.0187905796947456,0.896821476499394,0
"sce1",0.9,2,1000,0.35,0.935,35.323,93.353,0.64338,0.0276611775009803,0.35482818721246,0.111042089046277,0.0048281872124596,0.35322998773974,0.04886092895503,0.00322998773973969,0.896821476499394,0.0187905796947456,0.896821476499394,0
"sce1",0.9,3,1000,0.4,0.94,40.09,93.91,0.67,0.0270533155432358,0.40513073673861,0.105205932014385,0.00513073673860999,0.401208696247297,0.0481035740332247,0.00120869624729679,0.896821476499394,0.0187905796947456,0.896821476499394,0
"sce1",0.9,4,1000,0.45,0.945,45.241,94.336,0.697885,0.027172414598543,0.45076799413331,0.108603461412794,0.000767994133309566,0.452333537946919,0.0480216492443193,0.00233353794691896,0.896821476499394,0.0187905796947456,0.896821476499394,0
"sce1",0.9,5,1000,0.5,0.95,49.928,95.109,0.725185,0.027769802608894,0.512753547564283,0.0997309205333304,0.0127535475642827,0.50056197599062,0.0502050789746516,0.000561975990620235,0.896821476499394,0.0187905796947456,0.896821476499394,0
"sce2",0,1,1000,0.15,0.15,14.83,14.975,0.149025,0.0249969843025959,0.143748978209352,0.0257237168321247,-0.00625102179064761,0.143594151069149,0.025937998236723,-0.00640584893085129,0.0122840343412435,0.0132197372323508,0.0122840343412435,0
"sce2",0,2,1000,0.2,0.2,20.011,20.027,0.20019,0.0284934339063542,0.19523245254999,0.0290267267806932,-0.00476754745000994,0.195139423570182,0.0291402127214002,-0.00486057642981794,0.0122840343412435,0.0132197372323508,0.0122840343412435,0
